1.52E+18,chris_mynn47,FALSE,RT @bennyjohnson: Rand Paul single-handedly SHUTS DOWN Biden's Ministry of Truth with savage takedown that left Sec. Mayorkas SPEECHLESS ht…,,,Twitter for iPhone,2022-04-29 01:55:45+00:00,2370,0
1.52E+18,TylerEdward13,FALSE,RT @thebradfordfile: LOL. Biden's ministry of truth is producing more disinformation than CNN.,,,Twitter Web App,2022-04-29 01:55:43+00:00,337,0
1.52E+18,HelenaC65492743,FALSE,"RT @johncardillo: Ministry of Truth, and now this:",,,Twitter for iPhone,2022-04-29 01:55:41+00:00,67,0
1.52E+18,dilee61_diana,FALSE,RT @thebradfordfile: LOL. Biden's ministry of truth is producing more disinformation than CNN.,,,Twitter for iPhone,2022-04-29 01:55:37+00:00,337,0
1.52E+18,mark_lalama,FALSE,"RT @GOPLeader: The same party that spent years promoting the Russia collusion hoax, suppressed the Hunter Biden laptop story, &amp; equated par…",,,Twitter for iPhone,2022-04-29 01:55:33+00:00,1699,0
1.52E+18,nrxpxrp,FALSE,RT @thebradfordfile: LOL. Biden's ministry of truth is producing more disinformation than CNN.,,,Twitter for iPhone,2022-04-29 01:55:30+00:00,337,0
1.52E+18,MartinMaryska,FALSE,RT @bennyjohnson: Rand Paul single-handedly SHUTS DOWN Biden's Ministry of Truth with savage takedown that left Sec. Mayorkas SPEECHLESS ht…,,"Beverly Hills, CA",Twitter for iPad,2022-04-29 01:55:24+00:00,2370,0
1.52E+18,DevinAkin,FALSE,RT @AwakenWithJP: The Ministry of Truth - Everything You Need To Know! https://t.co/DLNeCb6IWr,,"Carrollton, GA, USA",Tweetbot for iΟS,2022-04-29 01:55:20+00:00,89,0
1.52E+18,directorblue,FALSE,"RT @kylenabecker: The Democratic Party's 2022 Midterm Elections Strategy just *DROPPED*:

✅Leak Supreme Court opinions
✅Riot &amp; threaten SCO…",,United States of America,Twitter for Android,2022-04-29 01:55:15+00:00,66,0
1.52E+18,Wally389,FALSE,RT @bennyjohnson: Rand Paul single-handedly SHUTS DOWN Biden's Ministry of Truth with savage takedown that left Sec. Mayorkas SPEECHLESS ht…,,On the Back Side of Forty,Twitter for Android,2022-04-29 01:55:11+00:00,2370,0
1.52E+18,AMS0035,FALSE,"RT @kylenabecker: The Democratic Party's 2022 Midterm Elections Strategy just *DROPPED*:

✅Leak Supreme Court opinions
✅Riot &amp; threaten SCO…",,,Twitter for iPhone,2022-04-29 01:55:10+00:00,66,0
1.52E+18,YousirnaymTaken,FALSE,"RT @kylenabecker: The Democratic Party's 2022 Midterm Elections Strategy just *DROPPED*:

✅Leak Supreme Court opinions
✅Riot &amp; threaten SCO…",,,Twitter for Android,2022-04-29 01:55:01+00:00,66,0
1.52E+18,JeremyBednarik,FALSE,RT @thebradfordfile: LOL. Biden's ministry of truth is producing more disinformation than CNN.,,United States,Twitter for Android,2022-04-29 01:54:52+00:00,337,0
1.52E+18,Congressgohome,FALSE,RT @thebradfordfile: LOL. Biden's ministry of truth is producing more disinformation than CNN.,,"Winchester, VA",Twitter for Android,2022-04-29 01:54:49+00:00,337,0
1.52E+18,xxenna66,FALSE,"RT @kylenabecker: The Democratic Party's 2022 Midterm Elections Strategy just *DROPPED*:

✅Leak Supreme Court opinions
✅Riot &amp; threaten SCO…",,Trinidad,Twitter Web App,2022-04-29 01:54:39+00:00,66,0
1.52E+18,ruggiere_l,FALSE,"RT @YALiberty: ""You think the American people are so stupid they need you to tell them what the truth is? ... I don't trust government to f…",,"Sierra Vista, AZ",Twitter Web App,2022-04-29 01:54:36+00:00,598,0
1.52E+18,Coast2CoastChem,FALSE,"RT @TPostMillennial: Mayorkas admits that he didn't know that the head of Biden's ""Ministry of Truth"" Nina Jankowicz called the Hunter Bide…",,United States of America,Twitter Web App,2022-04-29 01:54:36+00:00,596,0
1.52E+18,bgallagb,FALSE,"RT @kylenabecker: BREAKING.🚨

DHS Sec. Alejandro Mayorkas is threatened with prison time if the Ministry of Truth is found to be illegal an…",,Quebec,Twitter for Android,2022-04-29 01:54:34+00:00,249,0
1.52E+18,AstraLaMMB1,FALSE,RT @AwakenWithJP: The Ministry of Truth - Everything You Need To Know! https://t.co/DLNeCb6IWr,,,Twitter Web App,2022-04-29 01:54:33+00:00,89,0
1.52E+18,txboi687,FALSE,Biden's ministry of truth is producing more disinformation than CNN. 🤣,,The great state of Texas!,Twitter for Android,2022-04-29 01:54:30+00:00,0,0
